merge sort, quick sort
1086274, 1371893
1087658, 1366961
1078788, 1466724
1071642, 1265745
1073977, 1382365
1067834, 1435153
1064917, 1319244
1064947, 1521546
1067873, 1364716
1087397, 1458485
1063463, 1316538
1063182, 1339359
1064005, 1326390
1069418, 1368153
1064275, 1314984
1060808, 1282201
1060207, 1481606
1063624, 1474541
1062131, 1264853
1067172, 1425160
1067874, 1365958
1087367, 1493965
1074739, 1370929
1088880, 1348911
1069837, 1374177
1064586, 1382235
1059935, 1379549
1069648, 1439863
1060507, 1446779
1061128, 1301304
1064286, 1381162
1062932, 1496110
1080742, 1325388
1059535, 1373115
1078387, 1419749
1070840, 1437809
1060728, 1558959
1067432, 1323304
1073686, 1533012
1063504, 1375710
1060998, 1343949
1073466, 1402320
1065007, 1542733
1066330, 1347487
1062943, 1352899
1076092, 1347608
1067222, 1334698
1078597, 1348319
1082516, 1410979
1063043, 1328706
1073947, 1299270
1064857, 1381753
1079680, 1272761
1067232, 1421473
1064255, 1378577
1086295, 1371160
1081564, 1287965
1085453, 1315366
1062361, 1396577
1065549, 1299530
1065658, 1358893
1065959, 1401848
1075320, 1324005
1065167, 1432366
1066220, 1331762
1075741, 1347037
1063002, 1350845
1076132, 1374227
1064275, 1386124
1069768, 1409646
1066430, 1270055
1064666, 1244678
1064596, 1352910
1063644, 1369166
1066210, 1270055
1066410, 1359564
1078968, 1434452
1066490, 1331943
1072604, 1298307
1074267, 1315005
1360116, 1477227
1075320, 1311768
1073225, 1395114
1061389, 1377304
1379228, 1540569
1088670, 1561054
1087547, 1418727
1065528, 1310294
1061619, 1348289
1087097, 1408764
1068916, 1375981
1097609, 1268401
1068024, 1270355
1065288, 1344361
1067392, 1323594
1073265, 1301915
1100656, 1479212
1064275, 1311337
1076984, 1396788
1062902, 1388239
1082486, 1296023
1066791, 1443001
1076533, 1326140
1123137, 1403162
1060427, 1409596
1067101, 1404916
1082736, 1335932
1063073, 1358552
1064827, 1266085
1071902, 1348841
1065447, 1365839
1104175, 1365858
1065979, 1607328
1088248, 1280878
1061680, 1333256
1070159, 1360586
1069858, 1555071
1062902, 1334067
1078317, 1463316
1063614, 1497031
1060647, 1362250
1065147, 1340973
1073957, 1207906
1121564, 1346084
1097830, 1350545
1068174, 1361709
1065829, 1483300
1067032, 1296463
1062461, 1400475
1063484, 1342135
1067793, 1492762
1067132, 1261075
1069126, 1415880
1087016, 1472456
1060537, 1337075
1092048, 1490717
1066982, 1384660
1083578, 1296374
1072304, 1369076
1066139, 1402491
1061309, 1393921
1060948, 1602977
1059745, 1522428
1064345, 1406168
1074929, 1230828
1064135, 1376392
1085112, 1424208
1067202, 1451610
1110909, 1320958
1303680, 1566716
1071241, 1530386
1063664, 1785245
1079780, 1367562
1065899, 1335230
1061179, 1744092
1545560, 1462745
1064094, 1370650
1076984, 1348600
1063514, 1318503
1064426, 1330880
1060507, 1400976
1075271, 1436025
1124209, 1279195
1084751, 1328104
1064606, 1372333
1088339, 1388439
1063343, 1419739
1067041, 1497463
1064485, 1387026
1063705, 1397249
1066090, 1325699
1063203, 1381203
1062672, 1312419
1059525, 1372723
1094423, 1387777
1061399, 1280177
1087237, 1231228
1064135, 1369387
1099534, 1502403
1066540, 1338408
1081263, 1344461
1068865, 1328565
1063173, 1273001
1203356, 1981824
1071352, 1458395
1063674, 1253006
1088590, 1332344
1081123, 1364907
1062512, 1368836
1074167, 1412753
1062230, 1299250
1061550, 1421262
1066119, 1309863
1060537, 1314002
1061760, 1267008
1073025, 1374949
1064817, 1287393
1063012, 1360296
1095976, 1334939
1121573, 1317460
1062321, 1482539
1063062, 1304552
1063253, 1434672
1065538, 1489926
1064917, 1350033
1073856, 1276489
1063202, 1479072
1066380, 1297596
1071071, 1378797
1086024, 1354172
1063153, 1292184
1070198, 1438751
1062852, 1398462
